FC ,OT ,JC ,E  ,A  ,D  ,I  ,FJ ,IE ,F  ,FA ,B  ,AC , C ,IC ,AH , E ,JF ,EF ,duration,target,age_lastyear,GENDER,HHSIZE,num_kids_lastyear,novehicle,work_income,nonwork_income,total_income
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,30.0,F,4.0,3.0,0,0.0,0.0,0.0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,53.0,F,2.0,1.0,0,73227.96,0.0,73227.96
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,23.0,F,2.0,1.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,31.0,F,3.0,2.0,0,39430.56,0.0,39430.56
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,,,3.0,2.0,0,88449.66,68721.64,157171.3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,40.0,F,4.0,2.0,0,17252.04,0.0,17252.04
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,38.0,F,2.0,1.0,0,0.0,13212.0,13212.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,29.0,F,5.0,4.0,0,36075.0,2400.0,38475.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,57.0,F,2.0,0.0,0,0.0,9900.0,9900.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,44.0,M,1.0,0.0,0,0.0,1800.0,1800.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,37.0,F,6.0,4.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,45.0,M,2.0,0.0,0,0.0,0.0,0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1,24.0,F,2.0,1.0,0,39402.22,18476.12,57878.34
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1,31.0,F,3.0,2.0,0,0.0,20425.28,20425.28
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,36.0,F,3.0,2.0,0,56329.0,0.0,56329.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,,,3.0,0.0,0,0.0,8916.0,8916.0
